entry_date,exit_date,side,entry_price,exit_price,pnl_pct,hold_candles
2023-06-26 20:00:00,2023-06-27 04:00:00,SHORT,30260.1,30404.5,-0.005571960436350226,2
2023-07-04 16:00:00,2023-07-04 20:00:00,SHORT,30685.3,30756.1,-0.0031072937204459227,1
2023-07-07 00:00:00,2023-07-07 04:00:00,LONG,30122.1,29992.9,-0.00508920958366107,1
2023-07-10 20:00:00,2023-07-13 20:00:00,SHORT,30396.9,31441.7,-0.03517192608456781,1
2023-07-24 12:00:00,2023-07-26 00:00:00,LONG,29085.8,29228.0,0.004088983627749648,2
2023-08-02 12:00:00,2023-08-02 16:00:00,LONG,29312.6,29141.8,-0.006626845793276587,1
2023-08-08 04:00:00,2023-08-08 08:00:00,LONG,29177.0,29428.0,0.007802666483874284,1
2023-08-08 12:00:00,2023-08-11 08:00:00,SHORT,29517.5,29435.0,0.001994952147031422,2
2023-08-14 16:00:00,2023-08-14 20:00:00,SHORT,29353.8,29419.5,-0.003038211066369626,1
2023-08-15 20:00:00,2023-08-16 04:00:00,LONG,29188.8,29187.0,-0.0008616674888998271,2
2023-08-27 12:00:00,2023-08-28 00:00:00,LONG,26110.8,26002.0,-0.004966858158309944,3
2023-09-17 12:00:00,2023-09-17 20:00:00,SHORT,26537.0,26514.2,5.917775181818864e-05,2
2023-09-19 12:00:00,2023-09-20 16:00:00,SHORT,27413.4,26916.6,0.017322524021099277,2
2023-10-04 04:00:00,2023-10-04 16:00:00,SHORT,27442.0,27606.0,-0.0067762407987756,3
2023-10-06 08:00:00,2023-10-06 12:00:00,SHORT,27750.0,27926.5,-0.007160360360360361,1
2023-10-13 00:00:00,2023-10-16 04:00:00,SHORT,26769.5,27837.2,-0.04068494368591123,19
2023-10-28 04:00:00,2023-10-28 16:00:00,SHORT,34057.2,34118.3,-0.0025940406140259865,3
2023-11-05 00:00:00,2023-11-05 08:00:00,SHORT,35292.1,35103.5,0.0045439721637419855,2
2023-11-07 20:00:00,2023-11-08 00:00:00,SHORT,35406.5,35287.8,0.0025524917741091917,1
2023-11-12 08:00:00,2023-11-12 20:00:00,SHORT,37087.7,37085.5,-0.0007406811422655735,3
2023-11-20 00:00:00,2023-11-20 04:00:00,SHORT,37131.9,37261.1,-0.0042794879874177485,1
2023-11-21 00:00:00,2023-11-21 04:00:00,SHORT,37485.4,37297.1,0.004223289067210244,1
2023-11-27 20:00:00,2023-11-28 16:00:00,LONG,37234.3,38105.0,0.02258435259961909,5
2023-11-28 20:00:00,2023-11-30 20:00:00,LONG,37812.1,37716.8,-0.00332035724014259,12
2023-12-01 04:00:00,2023-12-01 12:00:00,SHORT,38234.9,38401.5,-0.0051572756826877685,2
