timestamp,close,sma_s,sma_m,sma_l,signal,position,equity,net_ret
2025-12-18 20:00:00,4323.22,4326.29625,4310.884512195123,4302.377340720222,1,0.0,,
2025-12-18 20:30:00,4329.06,4327.295625000001,4311.009959349593,4302.685817174515,1,1.0,10.009508449720348,0.0009508449720347482
2025-12-18 21:00:00,4326.98,4328.186875,4311.127032520325,4302.963213296399,1,1.0,10.00469914294811,-0.00048047382110683046
2025-12-18 21:30:00,4326.77,4328.203750000001,4311.263902439024,4303.23459833795,1,1.0,10.004213587937453,-4.853269485860512e-05
2025-12-18 22:00:00,4326.55,4328.363125,4311.379390243903,4303.4854293628805,1,1.0,10.003704911259621,-5.084624327156284e-05
2025-12-18 22:30:00,4322.04,4328.428125,4311.495243902439,4303.729861495845,1,1.0,9.99327703936405,-0.0010424009892409103
2025-12-18 23:00:00,4328.99,4328.815,4311.639308943089,4303.998531855957,1,1.0,10.00934659805013,0.0016080369455164778
2025-12-18 23:30:00,4328.99,4329.18875,4311.76512195122,4304.289362880887,1,1.0,10.00934659805013,0.0
2025-12-19 00:00:00,4324.58,4327.5,4311.874796747968,4304.567977839335,1,1.0,9.9991499428263,-0.00101871337194126
2025-12-19 00:30:00,4326.18,4326.136875,4312.008414634147,4304.846869806095,1,1.0,10.002849409574175,0.0003699781250434686
2025-12-19 01:00:00,4313.54,4325.63125,4312.071341463414,4305.092686980609,1,1.0,9.973623622265968,-0.002921746205659548
2025-12-19 01:30:00,4321.0,4325.263125,4312.164878048779,4305.362603878116,1,1.0,9.990872385977932,0.001729438002197714
2025-12-19 02:00:00,4323.14,4324.989375,4312.269105691057,4305.637506925208,1,1.0,9.995820422753214,0.0004952557278408154
2025-12-19 02:30:00,4316.01,4324.5375,4312.360853658537,4305.886842105264,1,1.0,9.979334674057998,-0.0016492641922306595
2025-12-19 03:00:00,4318.46,4323.65375,4312.463943089431,4306.142409972299,1,1.0,9.98499948251568,0.0005676539210983655
2025-12-19 03:30:00,4316.0,4323.219375,4312.554593495935,4306.368199445983,1,1.0,9.979311552390824,-0.0005696475132338508
2025-12-19 04:00:00,4316.51,4322.8,4312.637967479674,4306.584376731302,1,1.0,9.980490757416709,0.00011816496756256178
2025-12-19 04:30:00,4320.0,4322.23375,4312.715365853658,4306.834958448753,1,1.0,9.98856021926051,0.0008085235525923107
2025-12-19 05:00:00,4317.96,4321.67,4312.778414634146,4307.028559556787,1,1.0,9.98384339915697,-0.0004722222222222072
2025-12-19 05:30:00,4321.9,4321.365625,4312.873536585366,4307.147950138505,1,1.0,9.99295333602361,0.0009124679246681477
2025-12-19 06:00:00,4322.1,4321.0875,4312.922967479675,4307.29891966759,1,1.0,9.993415769367097,4.6275943450968526e-05
2025-12-19 06:30:00,4321.7,4321.06625,4313.020243902439,4307.503878116343,1,1.0,9.992490902680126,-9.2547604173987e-05
2025-12-19 07:00:00,4320.58,4320.540625,4313.113333333334,4307.588587257617,1,1.0,9.989901275956615,-0.0002591572760718419
2025-12-19 07:30:00,4318.71,4319.898125,4313.177398373983,4307.683351800554,1,1.0,9.985577524195037,-0.00043281226131675066
2025-12-19 08:00:00,4319.53,4319.5824999999995,4313.266260162602,4307.792853185595,1,1.0,9.987473500903322,0.00018987151255811519
2025-12-19 08:30:00,4321.21,4319.271875,4313.340650406504,4307.951329639889,1,1.0,9.991357940988589,0.00038893120316330076
2025-12-19 09:00:00,4320.33,4319.69625,4313.432235772358,4308.057506925208,1,1.0,9.989323234277258,-0.00020364666378169805
2025-12-19 09:30:00,4324.0,4319.88375,4313.518414634146,4308.17108033241,1,1.0,9.997808886130194,0.0008494721468035316
2025-12-19 10:00:00,4321.91,4319.806875,4313.61231707317,4308.3065096952905,1,1.0,9.992976457690784,-0.0004833487511564094
2025-12-19 10:30:00,4323.45,4320.271875,4313.685284552845,4308.424099722992,1,1.0,9.996537194435613,0.00035632394010987056
2025-12-19 11:00:00,4322.86,4320.546875,4313.776178861788,4308.534515235457,1,1.0,9.995173016072334,-0.00013646509153575348
2025-12-19 11:30:00,4321.32,4320.8793749999995,4313.844593495935,4308.643711911358,1,1.0,9.991612279327505,-0.00035624563367764317
2025-12-19 12:00:00,4320.75,4321.144375,4313.92443089431,4308.780969529086,1,1.0,9.990294344298576,-0.00013190414040142873
2025-12-19 12:30:00,4319.61,4321.12,4314.011056910569,4308.937783933518,1,1.0,9.987658474240714,-0.0002638430827982541
2025-12-19 13:00:00,4322.75,4321.4193749999995,4314.100284552846,4309.108005540166,1,1.0,9.994918677733416,0.0007269174763462338
2025-12-19 13:30:00,4324.93,4321.60875,4314.191626016261,4309.274598337951,1,1.0,9.999959201177397,0.0005043085998497343
2025-12-19 14:00:00,4325.01,4321.790625,4314.281097560976,4309.443628808865,1,1.0,10.000144174514789,1.849740920656373e-05
2025-12-19 14:30:00,4328.0,4322.184375,4314.402642276423,4309.62645429363,1,1.0,10.007057552999878,0.0006913278813227564
2025-12-19 15:00:00,4331.21,4322.84875,4314.514065040651,4309.801551246538,1,1.0,10.014479608162803,0.0007416820702403903
2025-12-19 15:30:00,4332.91,4323.73625,4314.647642276423,4309.982465373961,1,1.0,10.01841029158242,0.00039250001731616635
