entry_date,exit_date,side,entry_price,exit_price,pnl_pct,hold_candles
2023-06-22 08:00:00,2023-06-22 12:00:00,SHORT,0.4931,0.4936,-0.001813993104846888,1
2023-07-09 12:00:00,2023-07-10 08:00:00,LONG,0.4695,0.4712,0.002820873269435644,3
2023-07-22 00:00:00,2023-07-22 12:00:00,SHORT,0.7744,0.7672,0.008497520661157004,3
2023-08-10 16:00:00,2023-08-11 04:00:00,LONG,0.6339,0.6318,-0.00411282536677708,3
2023-08-24 12:00:00,2023-08-25 04:00:00,LONG,0.5147,0.5095,-0.010902972605401386,3
2023-08-29 08:00:00,2023-08-29 12:00:00,LONG,0.5154,0.5348,0.03684066744276306,1
2023-08-30 08:00:00,2023-08-30 12:00:00,SHORT,0.5292,0.5238,0.009404081632652985,1
2023-09-04 16:00:00,2023-09-04 20:00:00,LONG,0.5086,0.5083,-0.0013898545025561896,1
2023-09-17 16:00:00,2023-09-17 20:00:00,LONG,0.4968,0.4922,-0.010059259259259245,1
2023-09-29 00:00:00,2023-09-29 04:00:00,SHORT,0.5091,0.5078,0.0017535258298958314,1
2023-10-06 04:00:00,2023-10-06 12:00:00,SHORT,0.5199,0.5242,-0.009070821311790673,2
2023-10-09 12:00:00,2023-10-15 08:00:00,SHORT,0.4982,0.4865,0.02268454435969488,35
2023-10-15 08:00:00,2023-10-15 12:00:00,LONG,0.4865,0.4866,-0.0005944501541624071,1
2023-10-15 12:00:00,2023-10-15 16:00:00,SHORT,0.4866,0.4877,-0.0030605836415948324,1
2023-10-15 16:00:00,2023-10-15 20:00:00,LONG,0.4877,0.4871,-0.002030264506869069,1
2023-10-15 20:00:00,2023-10-18 08:00:00,SHORT,0.4871,0.4901,-0.006958899609936364,15
2023-10-18 08:00:00,2023-10-18 12:00:00,LONG,0.4901,0.4871,-0.006921199755152016,1
2023-10-19 12:00:00,2023-10-19 16:00:00,SHORT,0.4864,0.4886,-0.005323026315789433,1
2023-10-20 00:00:00,2023-10-20 08:00:00,SHORT,0.5203,0.5156,0.008233250048049274,2
2023-10-21 04:00:00,2023-10-22 08:00:00,SHORT,0.5171,0.5159,0.0015206343067104599,7
2023-10-29 12:00:00,2023-10-29 20:00:00,SHORT,0.557,0.5564,0.00027719928186722596,2
2023-11-04 00:00:00,2023-11-04 04:00:00,SHORT,0.6119,0.6147,-0.00537591109658445,1
2023-11-27 08:00:00,2023-11-27 12:00:00,LONG,0.6039,0.5978,-0.010901010101010092,1
2023-12-02 20:00:00,2023-12-03 04:00:00,SHORT,0.6213,0.621,-0.0003171414775471319,2
2023-12-04 08:00:00,2023-12-04 12:00:00,LONG,0.62,0.6159,-0.00741290322580644,1
2023-12-04 20:00:00,2023-12-06 16:00:00,LONG,0.625,0.6314,0.009439999999999938,11
2023-12-06 16:00:00,2023-12-07 04:00:00,SHORT,0.6314,0.6488,-0.028357808045613053,3
2023-12-07 04:00:00,2023-12-10 00:00:00,LONG,0.6488,0.6662,0.026018742293464812,17
2023-12-10 04:00:00,2023-12-10 20:00:00,LONG,0.6661,0.6622,-0.006654976730220709,4
2023-12-10 20:00:00,2023-12-11 04:00:00,SHORT,0.6622,0.6218,0.06020875868317727,2
2023-12-12 04:00:00,2023-12-15 04:00:00,LONG,0.6252,0.6311,0.008636980166346795,18
2023-12-16 00:00:00,2023-12-21 04:00:00,LONG,0.622,0.617,-0.008838585209003222,31
2023-12-25 12:00:00,2023-12-26 12:00:00,LONG,0.6344,0.6206,-0.0225528373266077,6
2023-12-27 04:00:00,2023-12-27 12:00:00,LONG,0.62,0.6343,0.022264516129032227,2
2023-12-27 16:00:00,2023-12-28 00:00:00,SHORT,0.6397,0.6423,-0.00486440518993268,2
2023-12-28 04:00:00,2023-12-28 08:00:00,SHORT,0.6375,0.6445,-0.011780392156862756,1
2024-01-01 04:00:00,2024-01-01 20:00:00,LONG,0.6155,0.6303,0.023245491470349187,4
2024-01-02 04:00:00,2024-01-02 08:00:00,SHORT,0.6313,0.633,-0.0034928560114050925,1
2024-01-06 00:00:00,2024-01-07 16:00:00,LONG,0.5716,0.5673,-0.008322743177046834,10
2024-01-09 04:00:00,2024-01-09 20:00:00,LONG,0.5715,0.5669,-0.008848993875765614,4
2024-01-29 08:00:00,2024-01-29 20:00:00,LONG,0.5259,0.5348,0.01612336946187492,3
2024-02-09 20:00:00,2024-02-16 04:00:00,SHORT,0.526,0.5665,-0.07779619771863114,38
