entry_date,exit_date,side,entry_price,exit_price,pnl_pct,hold_candles
2023-06-24 00:00:00,2023-06-24 08:00:00,SHORT,17.36,17.2,0.00841658986175116,2
2023-06-28 12:00:00,2023-06-29 08:00:00,LONG,16.319,18.044,0.10490500643421788,1
2023-07-01 20:00:00,2023-07-02 12:00:00,SHORT,18.677,19.282,-0.03319278256679341,4
2023-07-05 16:00:00,2023-07-05 20:00:00,LONG,18.59,18.981,0.020232813340505747,1
2023-07-06 20:00:00,2023-07-07 00:00:00,SHORT,19.592,20.197,-0.03167995100040835,1
2023-07-10 16:00:00,2023-07-11 00:00:00,SHORT,21.568,21.725,-0.008079302670623146,2
2023-07-17 04:00:00,2023-07-17 16:00:00,SHORT,27.634,26.167,0.052286777158572724,3
2023-07-30 08:00:00,2023-07-30 12:00:00,LONG,24.967,24.88,-0.004284599671566458,1
2023-08-05 08:00:00,2023-08-05 20:00:00,LONG,22.777,22.641,-0.006770935592922808,3
2023-08-08 16:00:00,2023-08-18 00:00:00,SHORT,24.571,21.542,0.12247540596638312,2
2023-08-29 00:00:00,2023-08-31 04:00:00,LONG,20.484,20.758,0.012576293692638026,4
2023-09-17 08:00:00,2023-09-17 12:00:00,LONG,19.016,18.968,-0.003324190155658302,1
2023-09-20 04:00:00,2023-09-24 20:00:00,SHORT,19.944,19.351,0.028933253108704374,28
2023-09-25 00:00:00,2023-10-01 00:00:00,SHORT,19.469,21.194,-0.08940239354871836,36
2023-10-05 12:00:00,2023-10-05 16:00:00,SHORT,22.79,22.782,-0.00044896884598511985,1
2023-10-05 20:00:00,2023-10-06 08:00:00,SHORT,22.682,23.169,-0.022270769773388672,3
2023-10-09 12:00:00,2023-10-09 20:00:00,LONG,22.187,22.077,-0.005757858205255304,2
2023-10-28 12:00:00,2023-10-29 00:00:00,SHORT,32.027,31.564,0.013656552284010396,3
2023-11-06 00:00:00,2023-11-06 04:00:00,SHORT,41.118,39.939,0.02787357361739389,1
2023-11-19 12:00:00,2023-11-19 16:00:00,LONG,59.999,61.196,0.019150332505541687,1
2023-11-19 16:00:00,2023-11-20 04:00:00,SHORT,61.196,59.931,0.019871285704948047,3
2023-11-22 12:00:00,2023-11-23 20:00:00,LONG,54.944,56.537,0.02819315666860797,8
2023-11-24 16:00:00,2023-11-25 00:00:00,LONG,57.166,58.85,0.02865806948185993,2
2023-11-25 04:00:00,2023-11-26 08:00:00,LONG,58.622,57.865,-0.0137132407628535,7
2023-11-27 16:00:00,2023-12-06 00:00:00,LONG,54.124,64.423,0.18948527085950778,50
2023-12-06 00:00:00,2023-12-06 04:00:00,SHORT,64.423,63.427,0.014660316967542681,1
2023-12-06 04:00:00,2023-12-11 04:00:00,LONG,63.427,68.522,0.07952856669872461,30
2023-12-11 20:00:00,2023-12-14 16:00:00,LONG,70.286,73.302,0.042110394673192456,17
2023-12-14 16:00:00,2023-12-15 04:00:00,SHORT,73.302,76.663,-0.046651409238492675,3
2023-12-18 08:00:00,2023-12-18 12:00:00,LONG,69.021,70.76,0.024395230437113405,1
2023-12-20 16:00:00,2023-12-21 00:00:00,SHORT,81.16,83.424,-0.028695515032035608,2
2023-12-21 00:00:00,2023-12-22 08:00:00,LONG,83.424,93.833,0.1239722477943996,8
2023-12-22 20:00:00,2023-12-24 04:00:00,LONG,97.962,114.565,0.16868408566587037,8
2023-12-25 08:00:00,2023-12-25 16:00:00,LONG,111.872,121.426,0.08460117276887874,2
2023-12-26 00:00:00,2023-12-26 08:00:00,LONG,119.467,114.839,-0.03953873119773662,2
2023-12-28 12:00:00,2023-12-28 16:00:00,LONG,99.802,101.208,0.013287894030179671,1
2023-12-29 00:00:00,2023-12-29 16:00:00,LONG,104.968,105.914,0.008212270406219017,4
2023-12-29 16:00:00,2023-12-30 04:00:00,SHORT,105.914,103.552,0.021501112223124372,3
2024-01-01 20:00:00,2024-01-02 08:00:00,SHORT,110.047,114.113,-0.03774784955519008,3
2024-01-02 08:00:00,2024-01-03 00:00:00,LONG,114.113,108.198,-0.0526345850166064,4
